epoch,loss,val_loss
0,0.24306203424930573,0.24303372204303741
1,0.24237005412578583,0.24169877171516418
2,0.23968936502933502,0.2355736792087555
3,0.2298612892627716,0.21909302473068237
4,0.20858389139175415,0.19176673889160156
5,0.1805475503206253,0.16409245133399963
6,0.15679143369197845,0.14992660284042358
7,0.14012150466442108,0.13914605975151062
8,0.131627157330513,0.12661658227443695
9,0.12540854513645172,0.1221136525273323
10,0.1210695430636406,0.11857979744672775
11,0.11519583314657211,0.12239280343055725
12,0.11366718262434006,0.11362554132938385
13,0.11466094106435776,0.1118321567773819
14,0.1079694926738739,0.12016996741294861
15,0.11163545399904251,0.1132754385471344
16,0.11112892627716064,0.12109558284282684
17,0.11785606294870377,0.12798327207565308
18,0.12967047095298767,0.14512021839618683
19,0.12414003163576126,0.1423235386610031
20,0.1340380311012268,0.14838793873786926
21,0.1308496594429016,0.14277629554271698
22,0.15720047056674957,0.22533473372459412
23,0.1984947770833969,8.300524711608887
24,1.1502782106399536,0.2463778853416443
25,0.4502492845058441,0.4186110496520996
26,0.5451099872589111,0.6311970353126526
27,0.700900673866272,0.9004796743392944
28,1.1101847887039185,2.0002620220184326
29,1.306509017944336,1.6154696941375732
30,2.0905227661132812,2.9277124404907227
31,2.5702121257781982,3.8892154693603516
32,3.7131752967834473,3.921097755432129
33,3.892327308654785,5.265260219573975
34,4.412439823150635,4.494602203369141
35,5.207317352294922,10.81726360321045
36,12.044036865234375,10.889362335205078
37,11.612515449523926,15.803102493286133
38,17.73549461364746,17.91668701171875
39,5160760832.0,253.13607788085938
40,55.5523681640625,1.9491997957229614
41,1.9943578243255615,1.8381257057189941
42,1.808727741241455,1.7960727214813232
43,1.79072904586792,1.7823479175567627
44,1.7747101783752441,1.7637689113616943
45,1.755406379699707,1.7437602281570435
46,1.7349600791931152,1.7228769063949585
47,1.7139606475830078,1.7016679048538208
48,1.6926615238189697,1.680253505706787
49,1.671174168586731,1.6586536169052124
50,1.6494582891464233,1.6368457078933716
51,1.6275606155395508,1.6148525476455688
52,1.6055121421813965,1.5926755666732788
53,1.5832501649856567,1.5704163312911987
54,54796244.0,2.1253745555877686
55,2.1590147018432617,2.226675510406494
56,2.2560088634490967,2.2861993312835693
57,2.29752516746521,2.3108036518096924
58,2.315413236618042,2.3213889598846436
59,2.323773145675659,2.3263354301452637
