epoch,loss,val_loss
0,0.2448623776435852,0.24353358149528503
1,0.24297703802585602,0.24298565089702606
2,0.2424628883600235,0.24258626997470856
3,0.2422725260257721,0.24235805869102478
4,0.2420516014099121,0.24233610928058624
5,0.24180305004119873,0.24196317791938782
6,0.24161487817764282,0.24160444736480713
7,0.24102196097373962,0.2409377098083496
8,0.24015885591506958,0.23940223455429077
9,0.23715966939926147,0.2326107919216156
10,0.2174612432718277,0.1869075447320938
11,0.1603064388036728,0.13429658114910126
12,0.12426233291625977,0.11290781199932098
13,0.10883554816246033,0.10157343000173569
14,0.09884949028491974,0.09360487014055252
15,0.09097786247730255,0.08627283573150635
16,0.08454076200723648,0.08018437772989273
17,0.07954495400190353,0.07620639353990555
18,0.07541817426681519,0.07311862707138062
19,0.07247515022754669,0.07040201127529144
20,0.07021027058362961,0.06783942878246307
21,0.06778115034103394,0.06573472917079926
22,0.06616295129060745,0.06570378690958023
23,0.06428639590740204,0.062400925904512405
24,0.06243100389838219,0.06114992871880531
25,0.062379393726587296,0.05999041348695755
26,0.060031913220882416,0.058941807597875595
27,0.059080906212329865,0.05836464464664459
28,0.059350382536649704,0.057554084807634354
29,0.05757146701216698,0.0567726194858551
30,0.05705619230866432,0.057279251515865326
31,0.05717260017991066,0.05599985644221306
32,0.05609987676143646,0.05562323331832886
33,0.055802635848522186,0.055518440902233124
34,0.05584985017776489,0.055111631751060486
35,0.05506027117371559,0.0544879287481308
36,0.054689470678567886,0.05463305860757828
37,0.0553409717977047,0.05419809743762016
38,0.05428960174322128,0.05383159592747688
39,0.05404333025217056,0.05370348319411278
40,0.05442918837070465,0.05461522564291954
41,0.054010845720767975,0.05338900163769722
42,0.05356733873486519,0.053270306438207626
43,0.0535120889544487,0.05352381244301796
44,0.0541517548263073,0.0530729815363884
45,0.053212691098451614,0.05290998890995979
46,0.053095024079084396,0.05281522125005722
47,0.05302025005221367,0.05310610681772232
48,0.05385271832346916,0.05282949283719063
49,0.05288636311888695,0.05260105058550835
